股票简称,股票代码,最新价,涨跌幅,PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业
纽威股份,603699,11.36,1.07,17.43,16.15,2.93,1.012,2.3,14.22,机械行业
宁水集团,603700,24.16,0,17.4,17.98,3.3,0.5799,3,38.69,仪器仪表
德宏股份,603701,8.66,0.58,32.84,35.83,3.1,3.1948,3.38,296.29,机械行业
盛洋科技,603703,11.93,-0.58,244.99,678.81,3.26,7.49,4.36,39,输配电气
健友股份,603707,41.03,3.09,43.82,47.55,9.96,1.2581,12.51,-81.69,医药制造
中源家居,603709,17.77,-0.95,28.79,34.08,2.21,0.6416,1.2,58.06,木业家具
香飘飘,603711,19.04,0.21,17.74,22.13,2.77,4.0799,1.97,14.37,食品饮料
七一二,603712,35.65,0.68,51.8,52.61,9.11,0.7806,9.9,25.53,通讯行业
密尔克卫,603713,118.74,4.92,62.4,67.7,6.75,1.2073,4.61,40.06,交运物流
海利生物,603718,15.4,-2.96,608.34,1111.02,9.33,11.4686,32.68,55.12,农药兽药
良品铺子,603719,48.97,0.25,54.9,57.15,9.05,48.8242,2.29,83.86,食品饮料
阿科力,603722,41.19,-6,58.18,69.96,6,1.3449,5.84,65.33,化工行业
天安新材,603725,7.82,0.51,30.58,42.78,1.96,0.0321,1.64,19.37,塑胶制品
朗迪集团,603726,13.2,1.3,17.88,21.98,2.33,2.7994,1.56,46,家电行业
博迈科,603727,17.81,0.23,24.04,31.69,1.67,0.0592,1.43,11.75,石油行业
鸣志电器,603728,16.88,-4.95,28.82,34.97,3.15,1.8025,2.9,26.09,机械行业
仙鹤股份,603733,30.73,7.19,24.31,30.25,4.01,0.3584,3.97,46.77,造纸印刷
三棵树,603737,233,0.17,98.47,124.86,24.9,3.8236,6.77,74.72,化工行业
泰晶科技,603738,27.15,1.91,54.58,121.86,5.54,0.097,5.81,28.18,电子元件
蔚蓝生物,603739,17.27,-0.8,37.48,39.95,4.1,0.882,4.23,24.32,农牧饲渔
大元泵业,603757,20.9,0.05,15.82,16.41,2.69,0.6094,2.32,27.12,机械行业
秦安股份,603758,8.11,0.75,9.63,10.96,1.35,0.0824,3.13,11.39,汽车行业
常青股份,603768,15.22,-0.59,27.84,41.31,1.73,0.1194,1.17,250.91,汽车行业
科博达,603786,65.89,0.9,48.82,51.22,6.69,5.3701,8.61,58.99,汽车行业
新日股份,603787,27.15,-6.38,38.37,54.24,5.23,0.8817,0.98,9.06,交运设备
宁波高发,603788,14.02,0.72,16.77,17.44,1.6,27.6394,3.33,22.35,汽车行业
联泰环保,603797,7.78,0,14.33,14.67,2.05,0.3769,5.39,8.18,环保工程
康普顿,603798,10.48,-1.5,17.06,19.95,1.98,0.6267,1.96,7.17,化工行业
华友钴业,603799,103.99,3.07,77.12,108.28,7.62,0.054,5.44,46.14,有色金属
志邦家居,603801,37.6,0.4,23.94,29.71,5.1,0.889,2.8,17.6,木业家具
福斯特,603806,70.35,-2.29,34.1,41.51,7.1,0.4239,6.7,-179.91,塑胶制品
歌力思,603808,15.95,0,17.98,11.92,2.29,0.6893,2.54,19.53,纺织服装
豪能股份,603809,19.1,0.1,20.33,23.37,2.28,0.4465,3.13,17.9,汽车行业
丰山集团,603810,22.85,-0.65,13.15,11.27,1.91,0.0162,1.77,69.88,农药兽药
诚意药业,603811,17.91,0.28,22.45,25.35,4.55,0.7143,5.39,22.69,医药制造
曲美家居,603818,9.67,-0.92,28.31,54.27,2.54,0.3429,1.23,9.38,木业家具
百合花,603823,15.55,1.11,16.31,19.03,2.67,1.0116,2.23,18.89,化工行业
华扬联众,603825,17.51,-2.61,18.9,19.1,2.22,2.2346,0.43,14.6,文化传媒
