股票简称,股票代码,最新价,涨跌幅,PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业
平安银行,1,24.54,3.24,15.61,16.46,1.57,5.5977,3.03,-10.42,银行
万科A,2,26.33,-1.27,7.36,7.37,1.36,1.0557,0.71,4.19,房地产
国华网安,4,16.26,-3.79,41.22,41.53,1.84,0.0226,9.13,1616.67,软件服务
深振业A,6,5.25,-0.94,7.04,8.2,0.93,0.8841,2.21,18.17,房地产
中国宝安,9,10.19,1.9,32.37,39.72,3.71,0.2541,2.06,33.67,综合行业
南玻A,12,10.2,-0.29,25.23,40.19,2.9,0.5141,2.62,10.16,玻璃陶瓷
深康佳A,16,6.21,-0.64,19.39,31.31,1.76,0.1222,0.29,21.97,家电行业
*ST中华A,17,3.35,4.04,443.33,487.88,172.72,1.6604,13.83,378.37,文教休闲
深粮控股,19,7.9,2.46,19.87,22.48,1.92,1.4775,0.72,-38.98,食品饮料
深华发A,20,9.26,-0.86,204.89,383.89,7.67,8.2896,3.3,56.19,电子元件
深科技,21,17.41,0.29,27.84,31.7,3.5,0.1186,1.76,10.05,电子信息
飞亚达,26,14,0.14,14.34,20.73,2.09,0.3391,1.21,11.87,珠宝首饰
深圳能源,27,10.83,-1.99,12.14,12.93,1.89,0.0882,2.28,8.65,电力行业
国药一致,28,39.23,0.05,11.33,11.98,1.18,1.0305,0.27,8.91,医药制造
富奥股份,30,6.66,-1.62,12.04,13.38,1.61,11.1534,0.99,17.93,汽车行业
深桑达A,32,19.83,-0.6,140.75,142.54,13.27,10.6133,13.4,-226.17,电子信息
深南电A,37,8.9,-1.22,82.57,83.79,2.63,1.1861,6.36,26.85,电力行业
中集集团,39,15.04,-1.18,7.21,10.11,1.32,0.0088,0.5,3.09,金属制品
中洲控股,42,8.63,-0.92,24.83,20.39,0.74,0.0561,0.48,11.61,房地产
深纺织A,45,8.65,-0.69,51.02,117.57,1.56,0.4325,1.92,390.22,电子元件
德赛电池,49,45.62,8,18.1,20.47,4.62,0.4307,0.67,10.95,电子元件
深天马A,50,13.99,1.23,20.32,23.32,1.01,0.1818,1.11,4.81,电子元件
方大集团,55,4.39,0.23,13.01,12.34,0.86,1.407,1.47,10.15,装修装饰
华锦股份,59,6.98,-8.64,6.4,34.41,0.79,0.0275,0.35,2.19,石油行业
中金岭南,60,4.75,-0.63,15.29,17.04,1.42,0.7706,0.51,12.73,有色金属
农产品,61,5.77,-0.86,29.15,31.05,1.79,23.3706,2.92,12,农牧饲渔
北方国际,65,7.69,-1.79,7.74,7.88,1.07,1.1681,0.45,-4.64,工程建设
华侨城A,69,8.71,1.75,5.6,5.63,0.91,1.83,0.85,2.31,房地产
盐田港,88,5.42,-1.45,26.44,31.12,1.41,3.0563,20.99,37.68,港口水运
天健集团,90,5.86,-0.17,7.67,7.37,1.17,0.6029,0.65,3.75,工程建设
广聚能源,96,9.27,-0.11,34.86,37.63,1.72,9.0594,3.91,80.38,石油行业
中信海直,99,6.6,-0.45,17.46,18.32,1.14,4.7684,2.54,8.38,民航机场
TCL科技,100,7.7,-2.65,16.92,24.62,3.09,0.1178,1.13,4.82,电子元件
丰原药业,153,8.65,-1.93,24.63,26.03,1.87,0.6442,0.78,8.46,医药制造
华数传媒,156,7.7,0,17.34,16.91,1.04,0.4079,1.84,6.78,文化传媒
中联重科,157,10.25,-1.91,10.25,12.21,1.6,0.1392,1.18,9.1,机械行业
常山北明,158,9.34,-3.81,134.03,147.39,2.52,68.8092,1.48,20.59,综合行业
国际实业,159,6.3,-1.25,20.13,34.14,1.35,0.1256,4.39,-43.45,石油行业
申万宏源,166,4.73,1.5,14.43,15.25,1.31,0.3939,3.9,-2.77,券商信托
美的集团,333,77.73,-0.26,18.96,20.12,4.66,1.395,1.76,17.99,家电行业
潍柴动力,338,17.55,0.29,14.6,16.63,2.72,12.9374,0.68,5.1,机械行业
许继电气,400,13.12,0.54,17.98,18.48,1.51,0.2342,1.1,13.68,输配电气
冀东水泥,401,13.19,-1.42,6.05,6.54,1.32,0.8842,0.5,1.98,水泥建材
派林生物,403,34.63,-0.2,116.62,136.32,4.27,5.3976,22.55,145.3,医药制造
长虹华意,404,4.01,-0.5,24.31,24.05,0.84,0.0343,0.24,5.64,机械行业
胜利股份,407,4.35,-0.68,13.96,26.9,1.47,2.128,0.78,6.93,石油行业
云鼎科技,409,4.85,-2.61,28.09,33.55,4.92,0.591,1.54,-44.95,综合行业
英特集团,411,14.17,-1.8,21.41,22.5,2.07,5.2146,0.14,17.49,医药制造
民生控股,416,4.27,0.47,78.76,64.85,2.52,2.3769,31.14,56.3,多元金融
通程控股,419,4.45,-0.89,13.27,13.36,0.76,3.8556,0.98,13.24,商业百货
南京公用,421,5.37,-1.29,12.97,13.66,1.09,0.1964,0.44,-1.83,公用事业
东阿阿胶,423,37.2,0.76,128.86,562.02,2.48,18.2749,6.57,14.39,医药制造
徐工机械,425,6.56,0,10.61,13.78,1.54,2.8866,0.6,11.14,机械行业
兴业矿业,426,8.75,-0.91,3683.81,-,3.06,6.0186,10.76,27.18,有色金属
晨鸣纸业,488,9.95,0.3,11.05,17.34,1.51,3.209,0.85,2.12,造纸印刷
山东路桥,498,5.44,2.84,6.16,6.33,0.96,0.0342,0.23,3.52,工程建设
京粮控股,505,7.4,0.14,27.76,29.1,1.96,0.6324,0.57,-17.89,农牧饲渔
珠海港,507,6,-1.48,17,21.23,1.06,0.8001,1.36,11.98,港口水运
*ST华塑,509,2.64,-0.38,100.86,374.75,17.69,19.6521,55.47,-20.43,医疗行业
新金路,510,4.92,0.41,27.58,41.9,2.65,1.2176,1.23,21.28,化工行业
丽珠集团,513,48.52,4.46,24.71,26.45,3.62,0.7677,3.99,19.61,医药制造
国际医学,516,20.74,-1.85,912.81,1040.61,8.12,159.581,24.03,187,医疗行业
四环生物,518,3.95,0,1093.83,148.99,6.48,11.7853,9.7,82.09,医药制造
中兵红箭,519,10.96,-0.54,43.44,55.59,1.77,6.2762,2.2,8.95,专用设备
柳工,528,8.44,-1.86,7.88,9.35,1.05,0.217,0.47,3.9,机械行业
广弘控股,529,5.73,-0.52,10.96,11.08,1.68,0.5581,0.95,6.83,食品饮料
冰山冷热,530,4.24,-0.47,69.95,167.53,1.07,0.4694,2.04,41.7,机械行业
穗恒运A,531,8.32,-0.6,11.44,7.31,1.1,0.1359,1.47,10.18,电力行业
华金资本,532,12.63,-4.75,26.45,26.72,4.33,0.2298,8.25,29.98,综合行业
顺钠股份,533,2.95,-1.34,23,23.72,2.91,0.0017,1.3,35.45,输配电气
万泽股份,534,12.77,-1.31,83.54,82.38,5.91,7.494,12.11,77.34,医药制造
华映科技,536,2.75,-0.72,7.29,12.44,1.38,0.0489,3.07,26.09,电子元件
云南白药,538,127.27,1.82,32.53,29.47,4.17,0.9065,4.6,50.68,医药制造
粤电力A,539,3.73,-1.32,11.59,11.21,0.71,0.1748,0.62,3.37,电力行业
佛山照明,541,5.82,-1.36,24.84,25.7,1.45,4.5504,2.03,17.53,电子元件
皖能电力,543,3.82,-0.52,8.73,8.54,0.61,0.2476,0.5,3.08,电力行业
中原环保,544,6.27,-0.48,11.7,12.32,0.95,2.2738,2.08,7.62,公用事业
航天发展,547,17.9,0.22,32.95,35.57,3.34,1.6315,6.23,-4895.22,航天航空
湖南投资,548,3.91,-0.76,16.41,22.47,1.08,0.2869,3.95,-5.86,高速公路
江铃汽车,550,23.35,-0.98,26.56,36.6,1.79,0.0617,0.55,4.12,汽车行业
创元科技,551,8.31,0.48,24.44,28.5,1.69,7.3601,0.95,14.11,专用设备
泰山石油,554,4.71,-1.67,134.91,310.72,2.47,4.1988,0.88,5966.47,石油行业
神州信息,555,14.86,-2.94,29.89,30.5,2.61,0.9528,1.37,54.49,电子信息
西部创业,557,3.67,0.27,29.08,31.18,1.03,0.1035,5.53,27.47,交运物流
烽火电子,561,6.5,0.15,28.85,39.83,2.53,3.1561,2.6,62.83,通讯行业
陕国投A,563,3.36,0.6,20.55,19.42,1.11,1.1051,6.45,-63.94,券商信托
海德股份,567,9.84,0.2,44.26,49.36,1.43,1.5936,20.94,14.14,多元金融
泸州老窖,568,279.6,0.94,63.34,68.19,16.23,2.0328,22.62,62.6,酿酒行业
苏常柴A,570,5.68,0.71,42.18,60.81,1.31,0.3207,1.26,65.99,机械行业
甘化科工,576,11.19,-0.62,6.94,7.31,2.82,0.0131,9.31,-72.8,综合行业
威孚高科,581,24.71,1.4,8.08,8.99,1.3,0.3631,1.68,106.97,汽车行业
北部湾港,582,8.32,-0.24,12.84,12.63,1.29,1.4122,2.48,5.95,港口水运
哈工智能,584,7.52,-1.05,1764.38,1003.04,2.4,137.5016,3.06,375.9,机械行业
*ST东电,585,1.64,0.61,22.1,22.39,-7.54,0.064,17.61,-17.53,输配电气
汇源通信,586,7.08,-1.53,45.48,56.2,5.02,0.1066,2.64,60.95,通讯行业
*ST金洲,587,1.76,3.53,13.88,82.91,15.19,20.5838,-8.69,54.47,珠宝首饰
贵州轮胎,589,6.01,-0.83,4.76,5.05,0.97,0.0023,0.78,4.83,汽车行业
太阳能,591,6.38,-0.47,16.66,18.66,1.34,1.3506,3.27,8.11,电力行业
*ST宝实,595,2.59,2.78,198.22,272.98,3.23,49.1567,15.17,-13.25,机械行业
东北制药,597,5.04,2.65,96.41,555.41,1.65,0.0467,0.91,8.34,医药制造
兴蓉环境,598,5.29,-0.56,11.84,12.17,1.26,0.5413,2.83,5.64,公用事业
建投能源,600,5.07,-3.06,11.22,9.82,0.73,0.2722,0.63,3.46,电力行业
阳光股份,608,3.7,-1.6,23.44,25.85,0.89,0.1112,4.69,8.33,房地产
焦作万方,612,7.76,-1.65,13.37,16.29,1.84,0.0244,1.74,8.11,有色金属
ST海投,616,2.04,-1.45,9.92,10.32,0.62,0.0001,2.33,88.91,房地产
中油资本,617,6.1,0.33,10.04,9.83,0.85,15.4145,2.62,-7.15,多元金融
海螺型材,619,5.25,-0.57,47.05,58.41,0.77,0.2648,0.44,12.89,水泥建材
吉林敖东,623,15.59,0.19,10.23,10.61,0.79,0.4812,7.86,61.32,医药制造
远大控股,626,18.96,1.12,88.04,-,3.56,0.2291,0.14,-21.42,国际贸易
高新发展,628,8.65,0.93,12.15,12.65,2.02,0.0612,0.51,-18.5,工程建设
铜陵有色,630,2.84,-1.39,25.1,34.54,1.54,5.9678,0.27,-23.3,有色金属
三木集团,632,4.12,1.48,39.81,40.68,1.36,2.7387,0.21,-1.3,综合行业
英力特,635,11.13,0.63,22.07,48.48,1.22,0.2071,1.47,12.57,化工行业
风华高科,636,26.45,2.2,56.34,66.01,3.85,8.8987,4.93,39.25,电子元件
万方发展,638,5.82,-1.69,349.36,-,14.34,0.562,15.2,-61.64,软件服务
西王食品,639,6.09,3.57,20.45,21.01,1.75,0.3691,1.07,8.48,食品饮料
仁和药业,650,10.97,-2.23,24.95,27,2.94,3.5781,3.48,17.05,医药制造
金岭矿业,655,10.63,-8.28,21.35,27.46,2.18,0.6972,3.92,23.38,钢铁行业
金科股份,656,5.91,-0.84,4.45,4.49,0.92,0.1627,0.34,1.74,房地产
中钨高新,657,8.35,0.85,34.95,39.81,2.01,0.3314,0.82,-271.93,有色金属
长春高新,661,431.46,-0.12,51.68,57.32,14.79,0.6618,18.99,125.7,医药制造
*ST永林,663,8.94,5.05,44.57,82.73,4.92,2.7947,5.11,178.57,木业家具
*ST金鸿,669,2.02,0,14.93,83.2,1.07,7.2755,0.64,8.81,公用事业
阳光城,671,5.51,0,4.33,4.37,0.84,0.1252,0.27,1.13,房地产
*ST当代,673,1.72,-1.15,80.54,55.02,-8.18,21.3457,6.17,31.71,文化传媒
大连友谊,679,4.35,0.46,18.69,60.18,2.48,1.0512,13.05,-45.11,商业百货
山推股份,680,3.92,-2,34.83,58.47,1.63,0.176,0.71,6.17,机械行业
东方电子,682,4.67,0.65,21.8,22.51,1.78,1.6136,1.62,22.3,软件服务
远兴能源,683,4.17,-4.79,34.62,229.33,1.48,0.128,1.83,8.08,化工行业
中山公用,685,8.38,0.36,8.39,8.99,0.86,0.265,5.33,17.08,公用事业
东北证券,686,8.74,0.92,15.29,15.34,1.2,0.3934,3.35,8.35,券商信托
宝新能源,690,5.37,0.19,6.54,6.43,1.13,0.0624,1.46,3.5,电力行业
沈阳化工,698,7.08,-1.26,7.08,16.23,1.32,0.0796,0.52,5.63,石油行业
模塑科技,700,5.74,1.41,20.22,366.09,1.89,0.4038,0.75,10.77,汽车行业
厦门信达,701,5.06,-2.32,191.51,246.34,84.85,388.0049,0.03,-1.64,商业百货
正虹科技,702,4.92,-0.81,42.59,39.11,2.31,0.0321,1.04,-6.93,农牧饲渔
中信特钢,708,22.96,-2.05,17.4,19.24,4.33,1.3565,1.45,15.02,钢铁行业
黑芝麻,716,3.43,-0.58,54.64,280.1,0.93,1.6537,0.62,6.23,食品饮料
韶钢松山,717,5.25,2.94,6.67,6.82,1.28,3.0288,0.38,2.64,钢铁行业
中原传媒,719,6.88,-0.29,7.5,7.59,0.78,0.5921,0.7,3.58,文化传媒
西安饮食,721,4.2,-0.47,145.78,232.57,3.57,14.3532,4.59,74.41,旅游酒店
京东方A,725,6.08,-1.3,21.92,42.02,2.15,0.0681,1.31,4.36,电子元件
冠捷科技,727,2.75,0,9.3,16.7,7.21,0.5276,0.17,3.25,电子元件
国元证券,728,7.95,0.89,24.41,25.32,1.11,0.463,7.64,-5.46,券商信托
四川美丰,731,5.64,-1.74,22.48,32.17,1.14,0.542,1.07,7.66,化肥行业
振华科技,733,55.88,3.18,38.79,47.5,4.62,0.2216,6.58,164.69,电子元件
罗牛山,735,8.28,0,76.54,93.4,2.25,0.5332,4.16,-34.4,农牧饲渔
航发控制,738,21.39,4.24,59.83,66.67,3.99,1.904,6.61,70.81,航天航空
普洛药业,739,26.58,1.88,35.63,38.35,6.8,0.6894,3.85,29.9,医药制造
国海证券,750,4.38,1.86,39.82,32.88,1.28,0.9279,5.27,-2.35,券商信托
锌业股份,751,3.36,-3.45,18.7,20.26,1.63,1.0788,0.65,11,有色金属
*ST西发,752,4.85,1.46,41.6,91.03,29.51,9.5738,2.81,-26.34,酿酒行业
漳州发展,753,2.76,-0.36,20.37,20.52,1.1,0.675,0.84,-18,综合行业
新华制药,756,8.89,0.11,16.46,17.17,1.66,1.8614,0.92,13.78,医药制造
中色股份,758,4.96,-1.2,239.68,453.3,2.08,98.0799,1.39,4.05,有色金属
中百集团,759,5.77,8.87,18.2,91.1,1.25,0.0522,0.31,-34.11,商业百货
晋控电力,767,3.24,-2.7,67.09,44.11,1.27,0.2383,0.83,3.61,电力行业
中航西飞,768,26.64,1.6,91.21,94.88,4.77,2.1805,2.2,-218.42,航天航空
广发证券,776,15.58,0.39,11.3,11.83,1.18,0.3417,3.7,5.17,券商信托
新兴铸管,778,3.93,-0.76,8.32,8.65,0.7,0.3561,0.33,4.28,金属制品
甘咨询,779,9.12,0.22,11.29,11.29,1.57,4.5432,1.41,18.78,工程建设
美达股份,782,3.55,0.85,18.34,49.2,1.28,0.0405,0.71,-15.22,化纤行业
长江证券,783,7.62,1.2,17.85,20.21,1.46,0.7255,5.03,-5.21,券商信托
北新建材,786,48.36,0.23,24.4,28.57,4.77,0.0383,4.33,21.44,水泥建材
万年青,789,12.5,-1.88,6.42,6.73,1.52,0.7889,0.73,4.22,水泥建材
甘肃电投,791,4.26,-2.29,12.44,13.1,0.86,2.5275,2.51,3.43,电力行业
酒鬼酒,799,252.8,4.9,123.81,167.09,26.29,1.7522,33.93,68.88,酿酒行业
一汽解放,800,10.99,0,11.95,19.13,1.94,0.0008,0.39,9.68,汽车行业
四川九洲,801,5.95,0,63.87,79.25,2.33,0.3445,1.79,21,家电行业
北清环能,803,13.08,-7.5,35.76,55.38,4.05,0.8183,4.63,-19.09,综合行业
*ST银河,806,2.45,-4.3,41.5,46.22,41.66,6.8404,2.46,35.3,输配电气
云铝股份,807,13.31,-3.97,29.66,46.13,3.33,0.309,1.24,6.88,有色金属
智慧农业,816,3.04,0.33,68.12,78.6,2.06,9.3785,2.13,33.62,机械行业
京山轻机,821,8.02,-0.99,40.29,71.52,1.8,3.4026,1.27,22.05,机械行业
超声电子,823,10.83,2.95,16.73,18.76,1.52,7.3159,1.04,18.36,电子元件
天音控股,829,7.3,-3.95,59.04,40.21,3.02,0.1261,0.11,6.82,通讯行业
五矿稀土,831,18.61,-1.01,49.53,65.43,7.12,0.1256,8.65,-47.77,有色金属
粤桂股份,833,4.71,-2.89,33.28,50.17,1.1,0.4708,1.09,9.66,综合行业
秦川机床,837,8.12,0,22.75,36.83,2.53,0.1678,1.13,12.23,机械行业
财信发展,838,3.08,0,29.69,29.23,1.75,4.9589,0.53,0.86,房地产
华茂股份,850,3.88,0,9.99,16.48,0.86,0.6332,1.01,9.02,纺织服装
石化机械,852,4.57,-1.51,154.22,499.02,1.96,1.2655,0.57,-927.01,机械行业
五粮液,858,315.3,0.54,56.73,61.33,12.88,3.7606,19.93,57.18,酿酒行业
国风塑业,859,5.79,1.22,26.66,45.2,2.05,0.4223,3.12,47.36,塑胶制品
银星能源,862,5.58,0.36,37.78,114.87,1.44,2.101,3.09,6.57,电力行业
三湘印象,863,3.59,-0.83,13.29,14.68,0.88,0.7905,0.79,1.44,房地产
安凯客车,868,4.01,-0.74,23.65,29.53,5.78,0.1999,0.87,4.72,汽车行业
吉电股份,875,5.1,-0.78,22.23,29.77,1.36,0.0546,1.28,4.26,电力行业
潍柴重机,880,8.01,-0.62,23.12,24.2,1.68,0.7286,0.73,6.78,机械行业
中广核技,881,10.56,-0.47,27.99,36.82,1.67,0.1766,1.4,37.17,综合行业
华联股份,882,1.84,-2.13,36.77,219.25,0.69,3.6036,5.07,14.7,商业百货
湖北能源,883,4.97,-2.74,12.06,13.16,1.09,0.1895,1.76,5.42,电力行业
海南高速,886,4.62,0.22,39.37,49.25,1.61,0.8037,37.69,-26.31,房地产
中嘉博创,889,4.55,0,73.08,211.25,1.81,47.1604,1.6,30.08,通讯行业
法尔胜,890,6.11,-2.08,46.94,160.65,130.52,17.5092,5.26,2.1,金属制品
亚钾国际,893,16.41,0.49,170.1,208.35,3.33,2.8674,30.49,73.63,化肥行业
双汇发展,895,35.15,-0.17,19.54,19.47,4.83,1.336,1.63,14.43,食品饮料
津滨发展,897,2.18,-1.36,21.77,17.52,2.44,2.6985,1.7,3.97,房地产
鞍钢股份,898,4.27,-1.16,12.53,20.3,0.73,0.8236,0.36,2.7,钢铁行业
赣能股份,899,5.19,-2.08,17.8,16.03,1.01,0.4611,1.86,9.57,电力行业
新洋丰,902,15.13,-1.18,17.89,20.67,2.72,0.3231,1.87,11.53,化肥行业
云内动力,903,3.89,-0.51,29.85,33.89,1.31,1.3345,0.71,4.69,机械行业
厦门港务,905,6.8,-0.73,25.33,31.71,1.2,0.3426,0.23,12.79,港口水运
浙商中拓,906,12.33,6.11,13.39,14.98,2.76,3.7523,0.06,3.15,商业百货
数源科技,909,7.15,-0.14,73.76,75.39,1.78,0.8443,2.09,14.07,综合行业
南宁糖业,911,10.01,-4.03,87.51,73.98,25.57,32.5828,0.88,2.66,食品饮料
泸天化,912,4.38,-0.23,17.31,18.03,1.26,0.3396,1.28,16.07,化肥行业
钱江摩托,913,20.58,4.31,33.03,38.97,3.33,5.1248,2.34,20.4,交运设备
华特达因,915,26.91,-1.82,18.01,21.69,3.06,0.4042,3.17,8.11,医药制造
金陵药业,919,7.57,-1.43,29.87,58.57,1.32,0.1118,1.42,9.01,医药制造
南方汇通,920,7.55,2.3,26.87,30.07,2.62,1.4877,2.25,21.31,材料行业
佳电股份,922,7.39,0.27,10.66,10.86,1.68,0.6602,1.79,11.54,机械行业
河钢资源,923,22.52,-7.7,11.62,15.14,1.9,0.1048,2.3,4.9,有色金属
中国铁物,927,3.72,0,22.36,23.99,3.25,0.0657,0.48,37.78,交运物流
中钢国际,928,9.89,-7.4,17.36,20.65,2.16,1.193,0.8,83.25,工程建设
中粮科技,930,9.66,0.42,21.25,30.39,1.68,530.1563,0.84,-12.56,农牧饲渔
华菱钢铁,932,6.83,-2.15,5.72,6.55,1.19,0.1128,0.32,4.32,钢铁行业
神火股份,933,10.93,-2.15,26.9,68.07,3.22,0.6858,1.11,5.55,有色金属
四川双马,935,12.93,0,10.29,11.11,1.87,0.3665,7.1,17.69,水泥建材
紫光股份,938,22.66,0.67,33.02,34.21,2.28,11.9,1.03,9.84,电子信息
南天信息,948,11.83,-3.27,37.72,47.47,2.01,0.5325,1.03,17.15,软件服务
重药控股,950,5.25,-0.76,10.4,10.35,1.02,0.7263,0.18,81.78,医疗行业
中国重汽,951,29.15,-1.29,11.02,13.01,1.75,0.1873,0.34,9.27,汽车行业
欣龙控股,955,5.6,-0.71,21.41,15.86,3.71,0.0067,2.27,9.32,化纤行业
首钢股份,959,5.44,-0.18,13.48,19.87,1.18,0.2264,0.39,2.97,钢铁行业
中南建设,961,6.79,0,3.63,3.67,0.88,0.0409,0.32,2.59,房地产
东方钽业,962,10.52,-2.95,66.06,94.04,3.77,3.2023,5.92,297.68,有色金属
华东医药,963,47.17,-0.15,33.95,29.27,5.41,150.2805,2.43,23.62,医药制造
盈峰环境,967,7.89,0.13,17.9,18,1.49,9.0945,1.68,26.39,环保工程
*ST高升,971,2.54,0.79,21.97,26.38,2.23,1.1406,3.02,-35.53,电子信息
银泰黄金,975,9.91,0.61,21.69,22.15,2.7,0.4632,3.68,13.22,贵金属
华铁股份,976,5.22,0.58,18.02,18.59,1.68,0.3081,3.59,76.54,交运设备
浪潮信息,977,29.55,2.04,27.34,29.29,3.38,0.3347,0.68,6.01,电子信息
*ST中绒,982,1.48,-0.67,150.85,191.05,5.78,91.5627,25.99,211.89,纺织服装
山西焦煤,983,7.39,-1.73,13.41,15.47,1.53,0.7175,0.86,6.92,煤炭采选
越秀金控,987,13.1,0.69,21.74,7.81,1.51,0.0703,3.52,-8.67,多元金融
华工科技,988,21.04,0.57,31.3,38.43,3.13,3.1571,2.95,85.92,电子元件
九芝堂,989,9.44,-0.32,28.25,30.14,1.99,0.5753,2.15,14.54,医药制造
中国中期,996,9.71,-0.61,499.07,550.76,6.94,76.8723,66.66,11143.38,汽车行业
隆平高科,998,16.71,0.42,166.13,189.87,3.98,3.7511,6.6,16.83,农牧饲渔
宗申动力,1696,6.98,-0.29,12.94,13.6,1.73,0.3283,0.92,9.73,交运设备
豫能控股,1896,8.36,-5,33.66,33,1.57,0.1887,1.01,6.75,电力行业
招商积余,1914,20.49,-0.1,44.12,49.93,2.58,0.9262,2.39,19.86,房地产
新和成,2001,31.33,-0.76,21.25,22.67,3.95,0.3155,7.07,20.5,医药制造
鸿达兴业,2002,4.6,3.84,14.99,16.43,1.6,0.4587,2.39,9.43,化工行业
伟星股份,2003,6.29,-2.78,11.67,12.31,1.9,0.2885,1.85,10.56,纺织服装
华邦健康,2004,6.72,-4.55,19.27,20.41,1.36,3.6483,1.16,6.17,农药兽药
精功科技,2006,6.87,1.03,60.53,110.33,3.29,0.6988,2.55,19.17,机械行业
华兰生物,2007,38.79,0.94,43.72,43.87,9.04,1.3547,14.24,47.11,医药制造
大族激光,2008,38.61,1.29,34.28,42.09,4.28,0.7095,3.04,19.57,机械行业
凯恩股份,2012,5.58,-0.71,24.21,28.18,1.87,0.1804,1.45,13.07,造纸印刷
中航机电,2013,10.26,0.39,32.66,37.09,3.07,2.5832,2.9,22.64,航天航空
永新股份,2014,8.77,-0.79,14.33,14.88,2.49,1.1274,1.54,9.62,包装材料
协鑫能科,2015,10.05,-0.1,15.68,16.95,2.31,0.3297,1.17,5.78,电力行业
亿帆医药,2019,19.75,2.76,31.37,25.18,2.83,4.8359,4.62,23.2,医药制造
京新药业,2020,8.78,-1.13,10.71,11.26,1.81,0.2599,2.24,15.55,医药制造
科华生物,2022,18.38,-0.11,9.77,14,2.84,0.0245,1.86,5.68,医药制造
航天电器,2025,50.19,1.19,44.9,49.66,6.11,5.4883,4.7,1442.15,电子元件
山东威达,2026,12.35,0.24,16.45,20.55,1.96,0.011,2.15,16.26,机械行业
分众传媒,2027,9.95,1.95,27.38,36.48,7.91,0.1637,10.62,23.79,文化传媒
思源电气,2028,26.72,0.19,18.12,21.85,2.99,0.2822,2.45,23.96,输配电气
达安基因,2030,22.88,1.24,9.47,13.11,5.95,0.0023,4.53,10.72,医药制造
旺能环境,2034,17,-1.11,12.3,13.72,1.51,0.4154,3.76,6.84,环保工程
黔源电力,2039,14.58,0.14,10.21,10.04,1.38,0.1988,1.68,2.08,电力行业
登海种业,2041,16.39,3.21,113.29,141.47,4.89,0.6729,14.92,37.23,农牧饲渔
兔宝宝,2043,9.47,-2.47,13.74,18.22,4.06,5.3367,1,7.32,木业家具
美年健康,2044,11,-0.36,59.09,77.73,5.71,1.155,5,34.17,医疗行业
国机精工,2046,8.89,-2.41,32.69,74.86,1.65,0.1916,1.73,17.47,机械行业
紫光国微,2049,132.4,0.03,85.47,99.63,15.2,0.7784,22.46,131.26,电子元件
三花智控,2050,21.88,0.46,48.78,53.75,7.53,16.8709,6.03,44.7,家电行业
德美化工,2054,10.97,1.39,42.34,45.44,2.19,8.5333,2.99,25.21,化工行业
得润电子,2055,11.85,10.03,47.31,47.62,2.86,1.3738,0.73,-5.41,电子元件
横店东磁,2056,13.28,0.45,18.44,21.53,3.5,0.3322,2.34,16.1,材料行业
中钢天源,2057,6.98,0.29,27.79,30.12,1.86,0.9478,2.71,24.47,综合行业
云南旅游,2059,5.05,-0.79,26.84,32.09,2.1,0.0031,2.8,7.04,旅游酒店
粤水电,2060,3.65,0.83,15.85,16.65,1.28,1.384,0.34,5.56,工程建设
浙江交科,2061,5.34,-0.37,6.78,7.37,0.86,0.1245,0.19,66.58,工程建设
宏润建设,2062,4.4,-0.68,11.44,11.72,1.32,0.5581,0.42,3.57,工程建设
远光软件,2063,8.79,1.03,36.83,36.86,3.65,2.0277,5.55,282.29,软件服务
华峰化学,2064,12.9,1.42,16.39,26.23,4.52,0.5234,3.34,11.81,化纤行业
瑞泰科技,2066,9.09,-1.09,40.7,75.7,4.25,4.8206,0.47,6.28,材料行业
景兴纸业,2067,3.96,0,11.9,14.69,0.94,0.1402,0.86,7.21,造纸印刷
黑猫股份,2068,7.42,-1.2,14.69,56.97,1.69,0.1631,0.87,18.36,化工行业
软控股份,2073,4.91,-1.41,32.91,48.21,1.07,0.4517,1.42,16.86,专用设备
沙钢股份,2075,9.51,0.63,27.04,32.31,3.85,1.0796,1.33,11.08,钢铁行业
*ST雪莱,2076,2.14,-1.83,37.61,38.11,55.63,2.837,4.94,1107.51,电子元件
大港股份,2077,7.57,10.03,44,44.89,1.47,0.3082,5.63,11.4,综合行业
中材科技,2080,22.91,0.88,16.08,18.74,3.05,0.3073,1.95,12.61,玻璃陶瓷
金螳螂,2081,8.3,-2.58,8.87,9.38,1.28,8.2754,0.68,11.54,装修装饰
万邦德,2082,13.13,0.92,30.67,28.49,3.13,0.1227,0.69,75.17,医药制造
海鸥住工,2084,5.64,-2.25,17.38,22.53,1.93,0.8378,0.93,36.12,装修装饰
鲁阳节能,2088,19.8,-1.98,16.16,19.34,2.87,1.5922,2.75,13.92,玻璃陶瓷
江苏国泰,2091,9.3,10.06,14.83,14.87,1.55,3.3875,0.48,4.89,国际贸易
中泰化学,2092,9.95,-0.9,25.14,146.32,1.09,1.6088,0.24,2.75,化工行业
生意宝,2095,14.08,-0.56,94.38,96.2,3.87,10.5736,7.6,-30.66,电子信息
山河智能,2097,8.28,0.49,12.39,15.94,1.6,1.0431,0.81,4.34,机械行业
浔兴股份,2098,6.06,0.17,9.59,10.83,2.6,0.0089,1.3,13.2,化纤行业
天康生物,2100,10.07,2.65,6.42,6.3,1.65,0.0407,0.81,-20.57,农牧饲渔
